"Ana_Id","Ana_Sam_Fdt_Id","Ana_Sam_Mrs_Container_Id_Desc","Ana_Sam_Mrs_Container_Id","Ana_Sam_Mrs_Lcc_Parm_Group_Cd","Ana_Received_Date","Ana_Sam_Lab_Num","Ana_Lab_Seq_Num","Ana_Value","Ana_Mdl","Ana_Pgc_Spc_Parameter_Code","Ana_Com_Code","Com_Description","Ana_Cas_Num","Ana_Parameter_Name","Ana_Qa_Flag","Ana_Chemist_Name","Ana_Chemist_Sign_Date","Ana_Cbp_Bound","Ana_Cbp_Stored_Date","Ana_Lab_Comment","Ana_Storet_Bound","Ana_Stored_Storet_Date","Ana_Inserted_Date","Ana_Inserted_By","Ana_Changed_Date","Ana_Changed_By","Ana_Valid_Value_Flag","Rep_Timestamp","Ana_Low_Value","Ana_Hi_Value","Ana_Tech_Procedure_Id","Ana_Uncensored_Value","Ana_Analysis_Start","Ana_Meth_Id","Me_Meth_Short_Name","Me_Meth_Long_Name","Me_Meth_Desc","Ana_Pql","Ana_Uncensored_Val_Comment","Uncensored_Val_Comment","Ana_Sam_Id","Ana_Pg_Id","Pg_Parm_Group_Code","Pg_Task_Holding_Hours","Pg_Parm_Name","Pg_Storet_Code","Pg_Lower_Detect_Limit","Pg_Measurement_Unit","Pg_Parm_Short_Name","Pg_Me_Lims_Meth_Id","Loaded_Date","Loaded_By","Fdt_Sta_Id","Fdt_Date_Time"
"956915","222469","R",1,"99999",2001-01-12 00:00:00,"S113893","1",5400,NA,"31616",NA,NA,NA,"FECAL COLIFORM (MPN-FCBR/100 ML)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 13:24:10,"WQM_DBA",NA,NA,NA,NA,NA,5400,NA,NA,NA,NA,NA,NA,NA,NA,200178,3356,"99999",NA,"FECAL COLIFORM,MEMBR FILTER,M-FC BROTH,44.5 C","31616",NA,"cfu/100ml",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1972-06-27 12:05:00
"957020","242639","R",1,"99999",2001-01-12 00:00:00,"S134063","1",10,NA,"01034","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"CHROMIUM, TOTAL (UG/L AS CR)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 12:17:01,"WQM_DBA",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,804904,3338,"99999",NA,"CHROMIUM, TOTAL (UG/L AS CR)","01034",NA,"ug/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1973-08-26 14:35:00
"957236","246120","R",1,"99999",2001-01-12 00:00:00,"S137544","1",0.1,NA,"70505","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"PHOSPHATE, TOTAL, COLORIMETRIC METHOD (MG/L AS P)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 14:45:28,"WQM_DBA",NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,871268,4065,"99999",NA,"PHOSPHATE,TOTAL,COLORIMETRIC METHOD (MG/L AS P)","70505",NA,"mg/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1975-09-05 11:15:00
"957128","251226","R",1,"99999",2001-01-12 00:00:00,"S142650","1",10,NA,"01034","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"CHROMIUM, TOTAL (UG/L AS CR)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 12:17:01,"WQM_DBA",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,964132,3338,"99999",NA,"CHROMIUM, TOTAL (UG/L AS CR)","01034",NA,"ug/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1974-09-23 11:05:00
"957157","275415","R",1,"99999",2001-01-12 00:00:00,"S166839","1",10,NA,"01092",NA,NA,NA,"ZINC, TOTAL (UG/L AS ZN)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 12:38:49,"WQM_DBA",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,1204223,3347,"99999",NA,"ZINC, TOTAL (UG/L AS ZN)","01092",NA,"ug/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1974-12-23 10:35:00
"957048","275715","R",1,"99999",2001-01-12 00:00:00,"S167139","1",29.99,NA,"01051",NA,NA,NA,"LEAD, TOTAL (UG/L AS PB)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 12:24:48,"WQM_DBA",NA,NA,NA,NA,NA,29.99,NA,NA,NA,NA,NA,NA,NA,NA,1216391,3340,"99999",NA,"LEAD, TOTAL (UG/L AS PB)","01051",NA,"ug/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1973-12-27 11:50:00
"1100074","186472","R",1,"99999",2001-01-12 00:00:00,"S77896","1",50,NA,"00005",NA,NA,NA,"X-SEC. LOC., VERTICAL (% OF TOTAL DEPTH)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 09:40:58,"WQM_DBA",NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,108053,3189,"99999",NA,"X-SEC. LOC., VERTICAL (PERCENT OF TOTAL DEPTH)","00005",NA,"%",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1973-02-06 11:30:00
"1102343","192040","R",1,"99999",2001-01-12 00:00:00,"S83464","1",100,NA,"31616","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"FECAL COLIFORM (MPN-FCBR/100 ML)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 13:24:16,"WQM_DBA",NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,113242,3356,"99999",NA,"FECAL COLIFORM,MEMBR FILTER,M-FC BROTH,44.5 C","31616",NA,"cfu/100ml",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1975-03-03 11:45:00
"1103138","193316","R",1,"99999",2001-01-12 00:00:00,"S84740","1",1400,NA,"31616",NA,NA,NA,"FECAL COLIFORM (MPN-FCBR/100 ML)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 13:24:16,"WQM_DBA",NA,NA,NA,NA,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,114488,3356,"99999",NA,"FECAL COLIFORM,MEMBR FILTER,M-FC BROTH,44.5 C","31616",NA,"cfu/100ml",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1973-03-08 11:30:00
"1103122","193316","R",1,"99999",2001-01-12 00:00:00,"S84740","1",0.1,NA,"70507","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"PHOSPHORUS, IN TOTAL OTHROPHOSPHATE (MG/L AS P)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 14:46:59,"WQM_DBA",NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,114488,4066,"99999",NA,"PHOSPHORUS,IN TOTAL ORTHOPHOSPHATE (MG/L AS P)","70507",NA,"mg/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1973-03-08 11:30:00
